Produto,Idade,Sexo,Educacao,EstadoCivil,Uso,CondicionamentoFisico,Renda,Milhas
TM498,34,Masculino,16,Casado,3,4,59124,85
TM498,34,Masculino,15,Solteiro,3,3,67083,85
TM498,35,Feminino,14,Casado,3,2,52302,53
TM498,35,Masculino,16,Casado,3,2,53439,53
TM498,35,Feminino,16,Solteiro,3,2,50028,64
TM498,35,Masculino,16,Casado,3,3,53439,95
TM498,37,Feminino,16,Casado,2,3,48891,85
TM498,38,Feminino,16,Casado,4,3,62535,85
TM498,38,Masculino,16,Casado,3,3,59124,106
TM498,40,Feminino,16,Casado,3,3,61398,85
TM498,40,Feminino,16,Solteiro,3,3,57987,85
TM498,40,Masculino,16,Casado,3,3,64809,95
TM498,45,Masculino,16,Casado,2,2,54576,42
TM498,48,Masculino,16,Casado,2,3,57987,64
TM798,22,Masculino,14,Solteiro,4,3,48658,106
TM798,22,Masculino,16,Solteiro,3,5,54781,120
TM798,22,Masculino,18,Solteiro,4,5,48556,200
TM798,23,Masculino,16,Solteiro,4,5,58516,140
TM798,23,Feminino,18,Solteiro,5,4,53536,100
TM798,23,Masculino,16,Solteiro,4,5,48556,100
TM798,24,Masculino,16,Solteiro,4,5,61006,100
TM798,24,Masculino,18,Casado,4,5,57271,80
TM798,24,Feminino,16,Solteiro,5,5,52291,200
TM798,24,Masculino,16,Solteiro,5,5,49801,160
TM798,25,Masculino,16,Casado,4,5,49801,120
TM798,25,Masculino,16,Casado,4,4,62251,160
TM798,25,Feminino,18,Casado,5,5,61006,200
TM798,25,Masculino,18,Casado,4,3,64741,100
TM798,25,Masculino,18,Casado,6,4,70966,180
TM798,25,Masculino,18,Casado,6,5,75946,240
TM798,25,Masculino,20,Casado,4,5,74701,170
TM798,26,Feminino,21,Solteiro,4,3,69721,100
TM798,26,Masculino,16,Casado,5,4,64741,180
TM798,27,Masculino,16,Casado,4,5,83416,160
TM798,27,Masculino,18,Solteiro,4,3,88396,100
TM798,27,Masculino,21,Casado,4,4,90886,100
TM798,28,Feminino,18,Casado,6,5,92131,180
TM798,28,Masculino,18,Casado,7,5,77191,180
TM798,28,Masculino,18,Solteiro,6,5,88396,150
TM798,29,Masculino,18,Solteiro,5,5,52290,180
TM798,29,Masculino,14,Casado,7,5,85906,300
TM798,30,Feminino,16,Casado,6,5,90886,280
TM798,30,Masculino,18,Casado,5,4,103336,160
TM798,30,Masculino,18,Casado,5,5,99601,150
TM798,31,Masculino,16,Casado,6,5,89641,260
TM798,33,Feminino,18,Casado,4,5,95866,200
TM798,34,Masculino,16,Solteiro,5,5,92131,150
TM798,35,Masculino,16,Casado,4,5,92131,360
TM798,38,Masculino,18,Casado,5,5,104581,150
TM798,40,Masculino,21,Solteiro,6,5,83416,200
TM798,42,Masculino,18,Solteiro,5,4,89641,200
TM798,45,Masculino,16,Solteiro,5,5,90886,160
TM798,47,Masculino,18,Casado,4,5,104581,120
TM798,48,Masculino,18,Casado,4,5,95508,180
